date,open,high,low,close,volume
2025-07-01 09:15:00,1429.9,1439.9,1428.9,1429.9,85600
2025-07-01 09:30:00,1429.9,1431.8,1426.8,1427.5,103200
2025-07-01 09:45:00,1427.5,1428.3,1422.4,1422.7,120400
2025-07-01 10:00:00,1422.7,1423.9,1420.8,1422.0,79600
2025-07-01 10:15:00,1422.0,1422.0,1417.1,1417.3,111600
2025-07-01 10:30:00,1417.3,1418.7,1413.5,1416.9,213200
2025-07-01 10:45:00,1416.9,1417.1,1409.9,1410.3,142000
2025-07-01 11:00:00,1410.3,1413.6,1407.0,1413.4,70400
2025-07-01 11:15:00,1413.4,1414.0,1412.2,1413.6,32000
2025-07-01 11:30:00,1413.6,1413.8,1410.5,1411.0,21200
2025-07-01 11:45:00,1411.0,1413.3,1408.1,1410.0,60400
2025-07-01 12:00:00,1410.0,1411.0,1407.5,1408.2,39600
2025-07-01 12:15:00,1408.2,1410.8,1407.6,1408.0,18000
2025-07-01 12:30:00,1408.0,1408.0,1405.6,1405.6,42000
2025-07-01 12:45:00,1405.6,1409.0,1404.4,1409.0,48800
2025-07-01 13:00:00,1409.0,1413.5,1407.9,1412.1,59600
2025-07-01 13:15:00,1412.1,1413.2,1410.7,1411.0,28800
2025-07-01 13:30:00,1411.0,1411.0,1407.4,1407.4,43200
2025-07-01 13:45:00,1407.4,1408.2,1406.7,1407.8,46800
2025-07-01 14:00:00,1407.8,1408.8,1407.2,1408.8,38000
2025-07-01 14:15:00,1408.8,1409.7,1407.0,1407.8,25200
2025-07-01 14:30:00,1407.8,1408.4,1404.2,1405.0,45600
2025-07-01 14:45:00,1405.0,1406.4,1404.8,1405.5,35600
2025-07-01 15:00:00,1405.5,1409.9,1405.5,1408.9,74000
2025-07-01 15:15:00,1408.9,1410.4,1408.1,1409.6,98400
2025-07-02 09:15:00,1412.6,1412.6,1401.2,1406.0,97200
2025-07-02 09:30:00,1406.0,1408.1,1404.0,1404.4,51600
2025-07-02 09:45:00,1404.4,1404.4,1400.0,1400.6,65600
2025-07-02 10:00:00,1400.6,1403.1,1398.0,1401.0,69200
2025-07-02 10:15:00,1401.0,1402.2,1400.0,1401.3,30400
2025-07-02 10:30:00,1401.3,1401.4,1398.6,1400.0,40800
2025-07-02 10:45:00,1400.0,1406.6,1398.0,1406.5,45600
2025-07-02 11:00:00,1406.5,1407.6,1403.3,1404.9,30800
2025-07-02 11:15:00,1404.9,1407.3,1404.0,1405.3,380800
2025-07-02 11:30:00,1405.3,1414.9,1404.3,1410.6,136800
2025-07-02 11:45:00,1410.6,1412.0,1405.8,1405.8,86000
2025-07-02 12:00:00,1405.8,1408.0,1404.4,1404.8,45200
2025-07-02 12:15:00,1404.8,1405.8,1404.2,1404.9,38400
2025-07-02 12:30:00,1404.9,1408.9,1404.9,1406.5,48400
2025-07-02 12:45:00,1406.5,1407.5,1403.5,1403.5,28400
2025-07-02 13:00:00,1403.5,1404.6,1400.7,1401.0,31200
2025-07-02 13:15:00,1401.0,1401.2,1396.8,1396.8,58400
2025-07-02 13:30:00,1396.8,1399.1,1395.5,1395.9,68800
2025-07-02 13:45:00,1395.9,1397.4,1395.7,1397.1,47200
2025-07-02 14:00:00,1397.1,1397.4,1395.3,1395.6,70800
2025-07-02 14:15:00,1395.6,1395.6,1391.8,1392.5,112800
2025-07-02 14:30:00,1392.5,1392.5,1388.4,1389.6,107600
2025-07-02 14:45:00,1389.6,1391.7,1389.0,1391.2,110800
2025-07-02 15:00:00,1391.2,1393.8,1390.7,1391.7,95200
2025-07-02 15:15:00,1391.7,1392.5,1390.7,1391.6,134000
2025-07-03 09:15:00,1393.5,1397.0,1389.3,1390.5,80000
2025-07-03 09:30:00,1390.5,1390.7,1384.9,1387.1,83200
2025-07-03 09:45:00,1387.1,1388.8,1385.0,1388.5,52000
2025-07-03 10:00:00,1388.5,1391.8,1387.2,1389.8,47600
2025-07-03 10:15:00,1389.8,1389.8,1386.0,1388.5,49600
2025-07-03 10:30:00,1388.5,1388.9,1386.1,1386.1,23600
2025-07-03 10:45:00,1386.1,1388.0,1382.3,1387.7,75200
2025-07-03 11:00:00,1387.7,1389.8,1386.0,1388.0,28400
2025-07-03 11:15:00,1388.0,1394.0,1387.3,1393.8,42000
2025-07-03 11:30:00,1393.8,1398.0,1391.5,1392.4,84400
2025-07-03 11:45:00,1392.4,1395.7,1392.0,1395.0,26400
2025-07-03 12:00:00,1395.0,1396.3,1394.3,1395.5,23200
2025-07-03 12:15:00,1395.5,1397.4,1394.7,1397.0,24400
2025-07-03 12:30:00,1397.0,1397.5,1396.0,1396.1,17600
2025-07-03 12:45:00,1396.1,1396.9,1394.1,1394.8,30000
2025-07-03 13:00:00,1394.8,1396.5,1394.8,1396.1,20800
2025-07-03 13:15:00,1396.1,1396.2,1392.3,1395.9,74000
2025-07-03 13:30:00,1395.9,1400.6,1395.6,1398.9,61600
2025-07-03 13:45:00,1398.9,1398.9,1395.1,1396.2,19200
2025-07-03 14:00:00,1396.2,1397.3,1395.6,1396.1,24000
2025-07-03 14:15:00,1396.1,1397.0,1390.6,1391.5,102400
2025-07-03 14:30:00,1391.5,1392.1,1390.3,1390.5,101600
2025-07-03 14:45:00,1390.5,1390.7,1387.8,1389.9,34800
2025-07-03 15:00:00,1389.9,1391.5,1389.2,1389.8,51600
2025-07-03 15:15:00,1389.8,1390.3,1388.6,1389.2,94400
2025-07-04 09:15:00,1389.2,1397.6,1386.8,1394.0,72000
2025-07-04 09:30:00,1394.0,1396.4,1393.0,1395.0,34800
2025-07-04 09:45:00,1395.0,1395.7,1393.4,1395.4,14800
2025-07-04 10:00:00,1395.4,1395.6,1390.5,1390.7,42400
2025-07-04 10:15:00,1390.7,1395.4,1388.1,1395.4,116400
2025-07-04 10:30:00,1395.4,1395.4,1391.5,1392.1,16400
2025-07-04 10:45:00,1392.1,1393.5,1391.5,1391.6,15200
2025-07-04 11:00:00,1391.6,1392.7,1391.4,1392.7,20400
2025-07-04 11:15:00,1392.7,1394.4,1392.4,1394.2,21600
2025-07-04 11:30:00,1394.2,1395.1,1389.2,1389.9,26800
2025-07-04 11:45:00,1389.9,1389.9,1386.2,1387.9,50400
2025-07-04 12:00:00,1387.9,1391.3,1386.6,1390.5,41600
2025-07-04 12:15:00,1391.0,1391.5,1389.7,1389.7,22400
2025-07-04 12:30:00,1389.7,1390.8,1383.8,1384.1,34800
2025-07-04 12:45:00,1384.1,1384.2,1381.0,1381.4,37600
2025-07-04 13:00:00,1381.4,1382.4,1381.0,1382.2,20000
2025-07-04 13:15:00,1382.2,1389.5,1379.8,1388.1,73600
2025-07-04 13:30:00,1388.1,1388.9,1386.1,1388.9,24000
2025-07-04 13:45:00,1388.9,1389.9,1387.1,1389.6,32400
2025-07-04 14:00:00,1389.6,1389.6,1386.0,1388.0,41200
2025-07-04 14:15:00,1388.0,1388.0,1383.0,1386.1,48800
2025-07-04 14:30:00,1386.1,1386.6,1383.4,1386.2,30400
2025-07-04 14:45:00,1386.2,1387.4,1384.8,1386.4,44000
2025-07-04 15:00:00,1386.4,1386.5,1385.1,1386.1,46000
2025-07-04 15:15:00,1386.1,1386.6,1384.4,1385.6,126400
2025-07-07 09:15:00,1391.7,1399.0,1388.7,1398.9,139600
2025-07-07 09:30:00,1398.9,1400.7,1394.0,1394.1,62800
2025-07-07 09:45:00,1394.1,1397.5,1391.1,1395.8,37600
2025-07-07 10:00:00,1395.8,1396.0,1392.1,1392.1,50400
2025-07-07 10:15:00,1392.1,1396.9,1392.0,1392.6,88800
2025-07-07 10:30:00,1392.6,1395.1,1391.4,1393.9,34800
2025-07-07 10:45:00,1393.9,1395.0,1391.3,1392.5,19200
2025-07-07 11:00:00,1392.5,1392.5,1390.8,1391.0,38800
2025-07-07 11:15:00,1391.0,1391.0,1387.4,1387.4,47600
2025-07-07 11:30:00,1387.4,1388.0,1386.0,1386.3,25200
2025-07-07 11:45:00,1386.3,1386.5,1384.6,1385.2,15200
2025-07-07 12:00:00,1385.2,1387.1,1385.2,1386.1,16800
2025-07-07 12:15:00,1386.1,1386.4,1385.0,1385.0,12400
2025-07-07 12:30:00,1385.0,1386.5,1384.8,1386.3,10000
2025-07-07 12:45:00,1386.3,1386.3,1384.3,1385.1,17600
2025-07-07 13:00:00,1385.1,1385.2,1381.0,1382.5,38000
2025-07-07 13:15:00,1382.5,1382.6,1380.2,1380.5,25200
2025-07-07 13:30:00,1380.5,1380.7,1377.4,1378.5,44000
2025-07-07 13:45:00,1378.4,1380.5,1377.3,1379.6,52800
2025-07-07 14:00:00,1379.6,1381.5,1379.0,1380.4,45200
2025-07-07 14:15:00,1380.4,1384.6,1379.6,1383.1,54000
2025-07-07 14:30:00,1383.1,1384.1,1382.1,1383.4,35600
2025-07-07 14:45:00,1383.4,1384.5,1382.4,1384.3,36800
2025-07-07 15:00:00,1384.3,1389.8,1384.3,1389.5,78800
