instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13568258,53001,NIFTY25SEPFUT,NIFTY,0.0,2025-09-30,0.0,0.1,75,FUT,NFO-FUT,NFO
13566722,52995,BANKNIFTY25SEPFUT,BANKNIFTY,0.0,2025-09-30,0.0,0.2,35,FUT,NFO-FUT,NFO
13570818,53011,360ONE25SEPFUT,360ONE,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13571074,53012,ABB25SEPFUT,ABB,0.0,2025-09-30,0.0,0.1,125,FUT,NFO-FUT,NFO
13571330,53013,ABCAPITAL25SEPFUT,ABCAPITAL,0.0,2025-09-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
13571586,53014,ADANIENSOL25SEPFUT,ADANIENSOL,0.0,2025-09-30,0.0,0.05,675,FUT,NFO-FUT,NFO
13571842,53015,ADANIENT25SEPFUT,ADANIENT,0.0,2025-09-30,0.0,0.1,300,FUT,NFO-FUT,NFO
13572098,53016,ADANIGREEN25SEPFUT,ADANIGREEN,0.0,2025-09-30,0.0,0.05,600,FUT,NFO-FUT,NFO
13573122,53020,ADANIPORTS25SEPFUT,ADANIPORTS,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13573378,53021,ALKEM25SEPFUT,ALKEM,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13575938,53031,AMBER25SEPFUT,AMBER,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13576194,53032,AMBUJACEM25SEPFUT,AMBUJACEM,0.0,2025-09-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
13576450,53033,ANGELONE25SEPFUT,ANGELONE,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13576706,53034,APLAPOLLO25SEPFUT,APLAPOLLO,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13577218,53036,APOLLOHOSP25SEPFUT,APOLLOHOSP,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13577474,53037,ASHOKLEY25SEPFUT,ASHOKLEY,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13577986,53039,ASIANPAINT25SEPFUT,ASIANPAINT,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13578242,53040,ASTRAL25SEPFUT,ASTRAL,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13578498,53041,AUBANK25SEPFUT,AUBANK,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13578754,53042,AUROPHARMA25SEPFUT,AUROPHARMA,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13579010,53043,AXISBANK25SEPFUT,AXISBANK,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13579266,53044,BAJAJ-AUTO25SEPFUT,BAJAJ-AUTO,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13579522,53045,BAJAJFINSV25SEPFUT,BAJAJFINSV,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13579778,53046,BAJFINANCE25SEPFUT,BAJFINANCE,0.0,2025-09-30,0.0,0.05,750,FUT,NFO-FUT,NFO
13580034,53047,BANDHANBNK25SEPFUT,BANDHANBNK,0.0,2025-09-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
13580290,53048,BANKBARODA25SEPFUT,BANKBARODA,0.0,2025-09-30,0.0,0.01,2925,FUT,NFO-FUT,NFO
13580546,53049,BANKINDIA25SEPFUT,BANKINDIA,0.0,2025-09-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
13580802,53050,BDL25SEPFUT,BDL,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13581058,53051,BEL25SEPFUT,BEL,0.0,2025-09-30,0.0,0.05,2850,FUT,NFO-FUT,NFO
13581314,53052,BHARATFORG25SEPFUT,BHARATFORG,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13582082,53055,BHARTIARTL25SEPFUT,BHARTIARTL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13582338,53056,BHEL25SEPFUT,BHEL,0.0,2025-09-30,0.0,0.01,2625,FUT,NFO-FUT,NFO
13582594,53057,BIOCON25SEPFUT,BIOCON,0.0,2025-09-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
13582850,53058,BLUESTARCO25SEPFUT,BLUESTARCO,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13583106,53059,BOSCHLTD25SEPFUT,BOSCHLTD,0.0,2025-09-30,0.0,5.0,25,FUT,NFO-FUT,NFO
13583362,53060,BPCL25SEPFUT,BPCL,0.0,2025-09-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
13583618,53061,BRITANNIA25SEPFUT,BRITANNIA,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13583874,53062,BSE25SEPFUT,BSE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13584130,53063,CAMS25SEPFUT,CAMS,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13584386,53064,CANBK25SEPFUT,CANBK,0.0,2025-09-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
13584642,53065,CDSL25SEPFUT,CDSL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13584898,53066,CGPOWER25SEPFUT,CGPOWER,0.0,2025-09-30,0.0,0.05,850,FUT,NFO-FUT,NFO
13585410,53068,CHOLAFIN25SEPFUT,CHOLAFIN,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13585666,53069,CIPLA25SEPFUT,CIPLA,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13586178,53071,COALINDIA25SEPFUT,COALINDIA,0.0,2025-09-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
13590018,53086,COFORGE25SEPFUT,COFORGE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13590274,53087,COLPAL25SEPFUT,COLPAL,0.0,2025-09-30,0.0,0.1,225,FUT,NFO-FUT,NFO
13594626,53104,CONCOR25SEPFUT,CONCOR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13594882,53105,CROMPTON25SEPFUT,CROMPTON,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13598978,53121,CUMMINSIND25SEPFUT,CUMMINSIND,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13599234,53122,CYIENT25SEPFUT,CYIENT,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13601538,53131,DABUR25SEPFUT,DABUR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13601794,53132,DALBHARAT25SEPFUT,DALBHARAT,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
