symbol,date,open,high,low,close,Signal,entry_price,target1,target2,target3,stop_loss
BHARTIARTL,2025-07-11 12:00:00,1920.2,1925.4,1918.0,1925.3,Buy,1925.4,1935.03,1943.11,1959.86,1915.77
TATASTEEL,2025-07-11 13:00:00,159.51,159.61,159.36,159.57,Buy,159.61,160.41,161.08,162.47,158.81
LUPIN,2025-07-11 13:15:00,1892.9,1900.8,1892.8,1898.3,Sell,1892.8,1883.34,1871.6,1852.67,1902.26
BOSCHLTD,2025-07-11 13:15:00,36855.0,36935.0,36780.0,36825.0,Sell,36780.0,36596.1,36368.06,36000.26,36963.9
SHRIRAMFIN,2025-07-11 12:30:00,666.2,671.45,666.2,670.0,Sell,666.2,662.87,658.74,652.08,669.53
CGPOWER,2025-07-11 13:30:00,670.05,670.1,667.0,667.8,Buy,670.1,673.45,676.26,682.09,666.75
NYKAA,2025-07-11 11:15:00,217.65,217.93,216.52,217.13,Buy,217.93,219.02,219.93,221.83,216.84
TITAN,2025-07-11 11:00:00,3388.9,3396.6,3385.0,3390.7,Buy,3396.6,3413.58,3427.85,3457.4,3379.62
PETRONET,2025-07-11 11:45:00,302.0,302.65,302.0,302.0,Sell,302.0,300.49,298.62,295.6,303.51
INDUSTOWER,2025-07-11 11:00:00,396.0,396.45,394.6,396.0,Buy,396.45,398.43,400.1,403.55,394.47
GODREJCP,2025-07-11 13:15:00,1284.9,1285.7,1280.0,1283.5,Buy,1285.7,1292.13,1297.53,1308.71,1279.27
BRITANNIA,2025-07-11 13:45:00,5720.5,5736.0,5717.0,5730.0,Buy,5736.0,5764.68,5788.77,5838.67,5707.32
HDFCLIFE,2025-07-11 12:30:00,765.45,768.3,765.3,767.55,Sell,765.3,761.47,756.73,749.08,769.13
TORNTPOWER,2025-07-11 11:30:00,1413.6,1421.3,1412.4,1419.8,Sell,1412.4,1405.34,1396.58,1382.46,1419.46
LAURUSLABS,2025-07-11 14:00:00,793.8,794.25,793.0,794.0,Sell,793.0,789.04,784.12,776.19,796.96
BANKBARODA,2025-07-11 12:30:00,236.89,240.47,236.89,239.19,Sell,236.89,235.71,234.24,231.87,238.07
IREDA,2025-07-11 11:45:00,161.66,161.9,161.18,161.19,Sell,161.18,160.37,159.37,157.76,161.99
MGL,2025-07-11 12:30:00,1488.5,1491.1,1485.0,1487.2,Buy,1491.1,1498.56,1504.82,1517.79,1483.64
COALINDIA,2025-07-11 12:15:00,382.8,383.2,382.05,382.85,Sell,382.05,380.14,377.77,373.95,383.96
JSWSTEEL,2025-07-11 13:30:00,1035.6,1036.3,1034.1,1035.3,Buy,1036.3,1041.48,1045.83,1054.85,1031.12
ADANIENSOL,2025-07-11 11:45:00,880.25,884.8,880.25,881.75,Sell,880.25,875.85,870.39,861.59,884.65
HAVELLS,2025-07-11 12:15:00,1528.4,1532.3,1527.5,1530.0,Sell,1527.5,1519.86,1510.39,1495.12,1535.14
NESTLEIND,2025-07-11 12:00:00,2423.0,2425.0,2421.0,2422.7,Sell,2421.0,2408.9,2393.88,2369.67,2433.1
PAYTM,2025-07-11 12:15:00,919.4,919.4,917.0,917.3,Buy,919.4,924.0,927.86,935.86,914.8
CROMPTON,2025-07-11 11:00:00,339.5,339.5,338.5,339.45,Buy,339.5,341.2,342.62,345.58,337.8
IDEA,2025-07-11 12:45:00,7.23,7.24,7.22,7.22,Sell,7.22,7.18,7.14,7.07,7.26
ICICIGI,2025-07-11 13:15:00,2009.0,2016.0,2008.0,2014.4,Sell,2008.0,1997.96,1985.51,1965.43,2018.04
ABFRL,2025-07-11 11:00:00,76.36,76.53,76.24,76.48,Buy,76.53,76.91,77.23,77.9,76.15
ICICIBANK,2025-07-11 12:30:00,1418.9,1422.4,1418.8,1421.0,Sell,1418.8,1411.71,1402.91,1388.72,1425.89
IGL,2025-07-11 13:15:00,219.87,220.33,219.5,219.6,Sell,219.5,218.4,217.04,214.85,220.6
MARUTI,2025-07-11 12:45:00,12565.0,12570.0,12521.0,12550.0,Buy,12570.0,12632.85,12685.64,12795.0,12507.15
HAL,2025-07-11 12:45:00,4874.1,4907.0,4874.1,4883.0,Sell,4874.1,4849.73,4819.51,4770.77,4898.47
DLF,2025-07-11 13:30:00,818.0,818.4,816.5,816.7,Buy,818.4,822.49,825.93,833.05,814.31
DELHIVERY,2025-07-11 13:30:00,412.0,413.0,409.8,410.0,Sell,409.8,407.75,405.21,401.11,411.85
SYNGENE,2025-07-11 12:30:00,624.7,628.4,624.45,627.25,Sell,624.45,621.33,617.46,611.21,627.57
SONACOMS,2025-07-11 12:00:00,448.95,449.95,447.35,449.9,Buy,449.95,452.2,454.09,458.0,447.7
NCC,2025-07-11 14:00:00,222.1,222.69,222.0,222.62,Sell,222.0,220.89,219.51,217.29,223.11
CYIENT,2025-07-11 11:00:00,1280.7,1280.7,1274.0,1276.7,Buy,1280.7,1287.1,1292.48,1303.62,1274.3
ULTRACEMCO,2025-07-11 12:30:00,12563.0,12605.0,12563.0,12591.0,Sell,12563.0,12500.18,12422.29,12296.66,12625.81
GRANULES,2025-07-11 13:15:00,470.65,472.0,470.65,471.35,Sell,470.65,468.3,465.38,460.67,473.0
WIPRO,2025-07-11 14:00:00,258.9,259.55,258.7,259.25,Sell,258.7,257.41,255.8,253.22,259.99
NHPC,2025-07-11 14:00:00,88.14,88.14,88.0,88.04,Buy,88.14,88.58,88.95,89.72,87.7
HUDCO,2025-07-11 12:30:00,232.21,233.49,232.21,233.2,Sell,232.21,231.05,229.61,227.29,233.37
POONAWALLA,2025-07-11 12:00:00,457.25,457.25,456.05,457.2,Buy,457.25,459.54,461.46,465.43,454.96
HFCL,2025-07-11 12:45:00,81.73,81.8,81.7,81.7,Sell,81.7,81.29,80.78,79.97,82.11
TATATECH,2025-07-11 13:00:00,716.65,717.5,715.5,717.15,Sell,715.5,711.92,707.49,700.33,719.08
ZYDUSLIFE,2025-07-11 13:45:00,976.05,977.6,973.45,974.45,Buy,977.6,982.49,986.59,995.1,972.71
PGEL,2025-07-11 12:45:00,767.7,770.9,766.9,768.85,Sell,766.9,763.07,758.31,750.64,770.73
AUBANK,2025-07-11 13:45:00,823.5,824.55,823.25,823.95,Sell,823.25,819.13,814.03,805.8,827.37
NTPC,2025-07-11 14:00:00,342.75,343.1,342.45,342.5,Sell,342.45,340.74,338.61,335.19,344.16
INDIANB,2025-07-11 11:00:00,622.05,625.0,620.55,624.3,Buy,625.0,628.12,630.75,636.19,621.88
PATANJALI,2025-07-11 10:30:00,1664.6,1664.7,1652.0,1657.9,Buy,1664.7,1673.02,1680.02,1694.5,1656.38
CDSL,2025-07-11 13:15:00,1705.0,1709.8,1704.3,1706.8,Sell,1704.3,1695.78,1685.21,1668.17,1712.82
SUPREMEIND,2025-07-11 12:45:00,4140.1,4148.0,4130.2,4139.3,Sell,4130.2,4109.55,4083.94,4042.64,4150.85
VEDL,2025-07-11 12:15:00,444.05,446.25,444.05,444.8,Sell,444.05,441.83,439.08,434.64,446.27
ASIANPAINT,2025-07-11 12:45:00,2449.3,2450.6,2441.0,2447.9,Buy,2450.6,2462.85,2473.15,2494.47,2438.35
CUMMINSIND,2025-07-11 14:00:00,3539.3,3541.0,3536.9,3541.0,Buy,3541.0,3558.7,3573.58,3604.38,3523.3
BALKRISIND,2025-07-11 13:30:00,2647.2,2648.9,2637.6,2639.9,Buy,2648.9,2662.14,2673.27,2696.32,2635.66
AARTIIND,2025-07-11 09:30:00,449.35,451.2,448.0,450.55,Sell,448.0,445.76,442.98,438.5,450.24
ALKEM,2025-07-11 12:45:00,4826.3,4846.3,4826.3,4838.9,Sell,4826.3,4802.17,4772.25,4723.98,4850.43
ONGC,2025-07-11 12:30:00,242.29,242.54,242.25,242.29,Sell,242.25,241.04,239.54,237.11,243.46
IOC,2025-07-11 12:30:00,151.27,151.89,151.27,151.57,Sell,151.27,150.51,149.58,148.06,152.03
MAXHEALTH,2025-07-11 11:15:00,1226.2,1227.5,1221.6,1223.6,Buy,1227.5,1233.64,1238.79,1249.47,1221.36
DRREDDY,2025-07-11 13:45:00,1253.3,1258.0,1251.3,1257.7,Buy,1258.0,1264.29,1269.57,1280.52,1251.71
LODHA,2025-07-11 13:45:00,1400.2,1401.0,1393.0,1398.7,Buy,1401.0,1408.0,1413.89,1426.08,1394.0
POLICYBZR,2025-07-11 13:30:00,1781.9,1782.5,1776.0,1780.0,Buy,1782.5,1791.41,1798.9,1814.41,1773.59
TECHM,2025-07-11 13:00:00,1582.4,1584.0,1580.2,1580.7,Buy,1584.0,1591.92,1598.57,1612.35,1576.08
TCS,2025-07-11 09:15:00,3299.9,3335.0,3297.0,3319.0,Buy,3335.0,3351.68,3365.68,3394.7,3318.32
GLENMARK,2025-07-11 11:45:00,2189.6,2284.8,2189.6,2191.2,Sell,2189.6,2178.65,2165.08,2143.18,2200.55
TATACHEM,2025-07-11 11:30:00,910.8,914.2,908.25,912.8,Buy,914.2,918.77,922.61,930.56,909.63
JSL,2025-07-11 10:45:00,682.25,683.0,681.0,682.2,Buy,683.0,686.42,689.28,695.23,679.58
COFORGE,2025-07-11 12:45:00,1855.1,1855.8,1846.2,1854.4,Buy,1855.8,1865.08,1872.87,1889.02,1846.52
IRFC,2025-07-11 12:30:00,135.76,136.3,135.72,136.1,Sell,135.72,135.04,134.2,132.84,136.4
JUBLFOOD,2025-07-11 12:45:00,682.1,682.8,680.0,682.2,Sell,680.0,676.6,672.38,665.58,683.4
BSE,2025-07-11 11:00:00,2373.6,2387.3,2365.5,2384.6,Buy,2387.3,2399.24,2409.26,2430.03,2375.36
BDL,2025-07-11 13:15:00,1874.7,1880.0,1872.2,1874.1,Sell,1872.2,1862.84,1851.23,1832.51,1881.56
BEL,2025-07-11 12:45:00,411.2,412.7,411.2,411.7,Sell,411.2,409.14,406.59,402.48,413.26
PNB,2025-07-11 13:45:00,110.48,111.1,110.4,110.9,Sell,110.4,109.85,109.16,108.06,110.95
DALBHARAT,2025-07-11 12:30:00,2175.5,2188.2,2175.5,2183.8,Sell,2175.5,2164.62,2151.13,2129.38,2186.38
BHARATFORG,2025-07-11 14:00:00,1218.5,1219.0,1216.1,1217.6,Sell,1216.1,1210.02,1202.48,1190.32,1222.18
SUNPHARMA,2025-07-11 12:30:00,1671.0,1675.0,1670.3,1673.3,Sell,1670.3,1661.95,1651.59,1634.89,1678.65
COLPAL,2025-07-11 09:15:00,2411.3,2435.0,2396.7,2426.8,Buy,2435.0,2447.17,2457.4,2478.59,2422.82
HCLTECH,2025-07-11 13:45:00,1636.8,1637.2,1633.1,1635.4,Buy,1637.2,1645.39,1652.26,1666.51,1629.01
TRENT,2025-07-11 13:15:00,5380.0,5409.0,5377.5,5400.0,Sell,5377.5,5350.61,5317.27,5263.5,5404.39
NMDC,2025-07-11 13:15:00,69.29,69.48,69.22,69.34,Sell,69.22,68.87,68.44,67.75,69.57
NAUKRI,2025-07-11 12:00:00,1383.2,1390.0,1382.0,1389.5,Buy,1390.0,1396.95,1402.79,1414.88,1383.05
PAGEIND,2025-07-11 13:30:00,48125.0,48130.0,47990.0,48015.0,Buy,48130.0,48370.65,48572.8,48991.53,47889.35
APOLLOHOSP,2025-07-11 13:00:00,7162.5,7169.0,7159.0,7165.5,Buy,7169.0,7204.84,7234.95,7297.33,7133.16
BIOCON,2025-07-11 11:00:00,373.35,373.45,372.2,372.9,Buy,373.45,375.32,376.89,380.13,371.58
MFSL,2025-07-11 14:00:00,1563.0,1563.3,1557.6,1558.3,Buy,1563.3,1571.12,1577.68,1591.28,1555.48
AMBUJACEM,2025-07-11 12:45:00,588.35,588.8,587.6,588.4,Sell,587.6,584.66,581.02,575.14,590.54
TORNTPHARM,2025-07-11 09:15:00,3339.1,3367.9,3334.3,3361.0,Sell,3334.3,3317.63,3296.96,3263.61,3350.97
LICHSGFIN,2025-07-11 12:45:00,605.3,606.75,604.55,605.2,Sell,604.55,601.53,597.78,591.73,607.57
FEDERALBNK,2025-07-11 13:30:00,208.4,208.45,206.94,207.68,Buy,208.45,209.49,210.37,212.18,207.41
INDIGO,2025-07-11 14:00:00,5922.0,5926.5,5920.0,5925.0,Sell,5920.0,5890.4,5853.7,5794.5,5949.6
GODREJPROP,2025-07-11 10:45:00,2232.3,2234.0,2225.5,2229.7,Buy,2234.0,2245.17,2254.55,2273.99,2222.83
SJVN,2025-07-11 12:45:00,98.07,99.1,98.06,98.75,Sell,98.06,97.57,96.96,95.98,98.55
KOTAKBANK,2025-07-11 13:00:00,2210.1,2210.1,2206.4,2209.1,Buy,2210.1,2221.15,2230.43,2249.66,2199.05
PRESTIGE,2025-07-11 11:45:00,1699.9,1700.7,1693.8,1699.2,Buy,1700.7,1709.2,1716.35,1731.14,1692.2
NATIONALUM,2025-07-11 13:45:00,189.4,190.19,189.3,189.93,Buy,190.19,191.14,191.94,193.59,189.24
MPHASIS,2025-07-11 13:00:00,2828.9,2832.4,2820.1,2824.7,Buy,2832.4,2846.56,2858.46,2883.1,2818.24
AXISBANK,2025-07-11 13:30:00,1170.2,1170.9,1169.6,1170.4,Buy,1170.9,1176.75,1181.67,1191.86,1165.05
EICHERMOT,2025-07-11 09:15:00,5632.0,5682.5,5625.5,5678.0,Buy,5682.5,5710.91,5734.78,5784.22,5654.09
IRCTC,2025-07-11 12:45:00,777.3,778.85,777.05,777.55,Sell,777.05,773.16,768.35,760.58,780.94
CHOLAFIN,2025-07-11 13:30:00,1529.8,1532.5,1528.3,1531.3,Buy,1532.5,1540.16,1546.6,1559.93,1524.84
CONCOR,2025-07-11 12:30:00,618.75,621.4,618.7,619.3,Sell,618.7,615.61,611.77,605.58,621.79
GMRAIRPORT,2025-07-11 14:00:00,91.18,91.31,91.06,91.25,Sell,91.06,90.6,90.04,89.13,91.52
