symbol,date,open,high,low,close,volume,Signal,entry_price,target1,target2,target3,stop_loss,LongTrend,ShortTrend
IEX,2025-04-11 11:45:00,180.17,181.0,180.11,180.65,181198,Sell,180.11,179.21,178.09,176.29,181.01,Downtrend,Downtrend
IEX,2025-04-11 14:00:00,178.61,178.77,178.11,178.5,98307,Buy,178.77,179.66,180.41,181.97,177.88,Downtrend,Downtrend
IEX,2025-04-15 09:30:00,182.6,182.8,181.54,182.25,306585,Sell,181.54,180.63,179.51,177.69,182.45,Downtrend,Uptrend
IEX,2025-04-15 12:15:00,181.01,181.08,180.4,180.82,206892,Buy,181.08,181.99,182.75,184.32,180.17,Downtrend,Uptrend
IEX,2025-04-16 10:15:00,186.67,186.84,185.17,185.84,230723,Sell,185.17,184.24,183.1,181.24,186.1,Downtrend,Uptrend
IEX,2025-04-16 11:00:00,185.05,186.33,184.7,185.85,163996,Buy,186.33,187.26,188.04,189.67,185.4,Downtrend,Uptrend
IEX,2025-04-17 10:00:00,187.06,187.24,185.61,186.05,238315,Buy,187.24,188.18,188.96,190.59,186.3,Downtrend,Uptrend
IEX,2025-04-17 11:15:00,188.95,189.53,188.93,189.16,194761,Sell,188.93,187.99,186.81,184.92,189.87,Uptrend,Uptrend
IEX,2025-04-17 15:00:00,187.62,187.84,187.26,187.78,282781,Buy,187.84,188.78,189.57,191.2,186.9,Uptrend,Downtrend
IEX,2025-04-21 09:15:00,187.62,188.63,187.26,188.15,208692,Buy,188.63,189.57,190.37,192.01,187.69,Uptrend,Downtrend
IEX,2025-04-21 11:30:00,189.98,190.71,189.9,190.08,212190,Sell,189.9,188.95,187.77,185.87,190.85,Uptrend,Uptrend
IEX,2025-04-21 13:30:00,190.0,190.11,189.8,189.91,72136,Buy,190.11,191.06,191.86,193.51,189.16,Uptrend,Downtrend
IEX,2025-04-21 14:00:00,190.2,190.51,190.0,190.11,121973,Sell,190.0,189.05,187.87,185.97,190.95,Uptrend,Downtrend
IEX,2025-04-22 09:15:00,190.15,191.32,188.34,191.3,447383,Buy,191.32,192.28,193.08,194.74,190.36,Uptrend,Uptrend
IEX,2025-04-22 10:00:00,192.08,192.8,191.85,192.12,226169,Sell,191.85,190.89,189.7,187.78,192.81,Uptrend,Uptrend
IEX,2025-04-22 12:45:00,189.69,189.95,189.3,189.93,91674,Buy,189.95,190.9,191.7,193.35,189.0,Uptrend,Downtrend
IEX,2025-04-22 13:30:00,190.82,191.0,190.66,190.98,57605,Sell,190.66,189.71,188.52,186.62,191.61,Uptrend,Downtrend
IEX,2025-04-23 09:15:00,191.0,191.9,189.26,189.78,424476,Sell,189.26,188.31,187.14,185.25,190.21,Downtrend,Downtrend
IEX,2025-04-23 10:45:00,187.7,187.89,187.06,187.78,145185,Buy,187.89,188.83,189.62,191.25,186.95,Downtrend,Downtrend
IEX,2025-04-24 10:15:00,191.59,192.8,191.59,192.39,263406,Sell,191.59,190.63,189.44,187.53,192.55,Downtrend,Uptrend
